category_label,total annotations
total_annotations,118000
sugar_KE,27418
coland_KE,12684
UNIdent,11301
shell_SU,10912
peb_SU,10369
leaf_RE,7009
SS_SU,6904
ulva_GR,5454
cob_SU,4498
bould_SU,4306
5rib_KE,2559
unk_BR,2219
bullBL_KE,2202
sargass_BR,1600
filam_RE,1486
branch_RE,1255
filam_BR,1143
reef_SU,803
bushy_RE,782
crust_CA,593
senes_AL,563
unk_RE,472
KelpBry_SI,225
senes_RE,223
bullST_KE,168
crab_MS,94
ribbn_KE,92
SStar_MS,91
lgshell_SU,84
cabb_KE,76
wood_SU,62
anth_SU,55
fish_MS,37
holdfas_BR,37
concr_SU,34
encru_SI,32
fucus_BR,30
anem_SI,29
art_CA,28
metal_SU,16
broad_KE,11
HydBry_SI,8
CucEmb_SI,6
CaCuc_MS,5
SponSol_SI,5
stalk_KE,5
scallop_SI,4
surf_SG,4
gastro_MS,3
cord_KE,1
eel_SG,1
StriAci_BR,1
undaria_BR,1
