"stipes","bundles","site","transect","key","kelp_bryozoan","soft_sediment","cobble","pebble","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","shell_debris","anthro_substrate","sessile_invert","mobile_invert","coralline_algae"
18,2,"1","1","1_1",1.04,2.32,4.4,2.6,2.36,0,0.08,0,66.16,2.04,1.64,0.12,1.08,9.2,0,0,0,0
20,4,"1","2","1_2",0.92,3.36,3.4,1.16,4.04,0.24,0.08,0,66.08,1.6,1.4,0.12,0.56,8.96,0,0.08,0.04,0
39,7,"1","3","1_3",0.96,1.96,4.92,1.68,2.72,0.28,0.04,0,66.08,0.96,1.4,0.12,1.08,9.4,0,0,0,0
49,11,"1","4","1_4",0.92,2.84,4.24,2,4.08,0.28,0.04,0,70.8,1.72,1.56,0,2,10.12,0,0,0,0
0,0,"2","1","2_1",0,15.6,1.96,5.16,14.56,2.56,0,0,0.52,0.88,21.56,0,8.48,15.52,0.12,0,0.32,0.04
6,0,"2","2","2_2",0,15.04,1.88,7.76,16,2.04,0,0,1.12,0.48,24.6,0,9.76,18.44,0,0.04,0.12,0.04
69,13,"2","3","2_3",0,14.36,2.72,6.92,13.12,1.56,0,0,0.84,0.28,25.68,0,8.64,16.8,0,0.04,0.12,0
109,18,"2","4","2_4",0,15.92,3.6,5.52,12.08,1.56,0,0,0.68,0.84,29.36,0,7.36,21.36,0,0.04,0.16,0
0,0,"3","1","3_1",0,0.96,4.24,0.08,19.6,1.68,0.08,0,2.72,13.2,17.12,0.04,10.24,0.76,0,0.28,0.12,4.04
1,0,"3","2","3_2",0,0.2,3.92,0.04,25.84,2.52,0.12,0,3.28,3.04,18.96,0,10.12,0.92,0,0.52,0.68,4.64
48,9,"3","3","3_3",0.08,0.64,4.24,0,21.88,1.76,0.04,0,2.64,9.36,20.04,0,8.96,0.24,0,0.32,0.04,3.16
161,31,"3","4","3_4",0,0.68,3.16,0.04,16.24,2.68,0,0.24,4.72,12.84,21.36,0,11.44,0.96,0.04,0.28,0.2,6.2
1,0,"4","1","4_1",0,12.68,2.84,8.6,10.52,0.16,0,0,1.4,0.8,36.96,0,5.56,19.88,0,0.04,0.04,0.04
0,0,"4","2","4_2",0,13.4,2.68,11.16,11.68,0.04,0,0,0.88,0.84,25.28,0,6.36,23.16,0,0,0,0.04
61,7,"4","3","4_3",0,12.04,2.72,10.28,9.2,0.16,0,0,0.52,1.36,34.32,0,5.92,21.08,0,0.08,0.08,0
122,27,"4","4","4_4",0,12.32,2.2,13,10.8,0.16,0,0,1.64,0.92,27.84,0,3.44,23.48,0,0.04,0.08,0.08
39,5,"5","1","5_1",0.6,0.96,4.36,12.76,11.4,2.64,0.04,0.08,14.28,0.84,13.68,0.24,21.84,8.84,0.08,0.08,0.2,0.08
3,0,"5","2","5_2",0.4,1.68,2.84,11.76,13.48,3.56,0,0.04,12.36,1.6,18.24,0.32,17.48,6.24,0.04,0.04,0.24,0.08
28,5,"5","3","5_3",0.32,1.2,3.48,4.6,10.24,2.12,0.04,0.04,16.96,0.88,16.12,0,16.24,4.84,0.04,0,0.28,0.12
73,10,"5","4","5_4",0.32,0.88,2.44,10.04,10.64,2.8,0,0.04,21.24,1.64,12.04,0.24,16.6,2.04,0.04,0.16,0.16,0.2
123,12,"6","1","6_1",0,2.72,2.56,6.08,9.92,0.08,0.04,11.56,27.36,21.44,0,0.52,14.88,3.64,0,0,0.32,0.08
87,12,"6","2","6_2",0,3,2.4,4.72,10.28,0,0,12.64,21.8,22.84,0.24,0.52,12.36,7.48,0,0,0.16,0.28
137,21,"6","3","6_3",0,2.84,2.36,1.08,9.2,0,0.08,13.92,23.24,16.68,0,0.6,10.16,5.72,0,0,0.44,0.16
69,15,"6","4","6_4",0,4.32,4.4,5.64,14.32,0,0,15.08,31.24,21.84,0,0,11.64,6.68,0,0,0.44,0.4
53,6,"7","1","7_1",0.12,9.64,7.48,6.2,7.08,0.96,0.08,0,29.04,3,4.88,0,6.2,11.48,0.16,0.08,0.16,0
1,0,"7","2","7_2",0.24,11.12,7.64,7.76,8.08,0.56,0.12,0,32.12,2.2,5.6,0,6.88,12.76,0.04,0.08,0.08,0
62,9,"7","3","7_3",0.08,8.68,6.84,8.48,7.32,1.08,0.04,0,33.44,3.64,1.8,0,6.88,11.72,0,0,0.2,0
30,5,"7","4","7_4",0,9.16,7.72,11.8,8.8,0.52,0.04,0,30.36,3.36,3.6,0,4.36,15.88,0.08,0,0.16,0
7,1,"8","1","8_1",0.04,17.8,6.56,27.48,16.28,2.84,0.04,0.12,13.52,2.56,0.92,0,10.32,2.8,1,0.12,0,0
7,0,"8","2","8_2",0,14.88,9.16,27.88,18.2,2.52,0.04,0.04,7.72,2.28,0.32,0,8.24,4.92,0.32,0.16,0.12,0.24
7,0,"8","3","8_3",0,13.24,7.16,24.52,21.24,1.52,0.04,0.04,11.36,1.84,0.68,0,9.84,4.44,0.36,0.12,0.04,0.4
8,1,"8","4","8_4",0.04,14.76,7.2,28.28,17.8,2.12,0.12,0,5.64,1.6,0.04,0,10.48,3.32,1.16,0,0.08,0.4
